FTP 04/29/2006 08:38:52 69.203.203.58               /pub/erique/www/contests.html 1137
FTP 04/29/2006 08:38:57 69.203.203.58               /pub/erique/www/fiction/crabthb.gif 20571
FTP 04/29/2006 08:38:54 69.203.203.58               /pub/erique/www/conthist.html 2351
FTP 04/29/2006 08:38:55 69.203.203.58               /pub/erique/www/fiction/coupthb.gif 16353
FTP 04/29/2006 08:39:04 69.203.203.58               /pub/erique/www/fiction/fict599.html 7512
FTP 04/29/2006 08:39:00 69.203.203.58               /pub/erique/www/fiction/fict299.html 38635
FTP 04/29/2006 08:39:03 69.203.203.58               /pub/erique/www/fiction/fict499.html 12868
FTP 04/29/2006 08:39:02 69.203.203.58               /pub/erique/www/fiction/fict399.html 27729
FTP 04/29/2006 08:39:08 69.203.203.58               /pub/erique/www/fiction/fict9596/fic1196.html 27915
FTP 04/29/2006 08:39:12 69.203.203.58               /pub/erique/www/fiction/fict9596/fict1295.html 12293
FTP 04/29/2006 08:39:11 69.203.203.58               /pub/erique/www/fiction/fict9596/fict1095.html 11219
FTP 04/29/2006 08:39:15 69.203.203.58               /pub/erique/www/fiction/fict9596/fict296.html 12689
FTP 04/29/2006 08:39:09 69.203.203.58               /pub/erique/www/fiction/fict9596/fic1296.html 7468
FTP 04/29/2006 08:39:19 69.203.203.58               /pub/erique/www/fiction/fict9596/fict596.html 24035
FTP 04/29/2006 08:39:17 69.203.203.58               /pub/erique/www/fiction/fict9596/fict496.html 8177
FTP 04/29/2006 08:39:16 69.203.203.58               /pub/erique/www/fiction/fict9596/fict396.html 9345
FTP 04/29/2006 08:39:27 69.203.203.58               /pub/erique/www/fiction/fict9596/fict996.html 40085
FTP 04/29/2006 08:39:22 69.203.203.58               /pub/erique/www/fiction/fict9596/fict796.html 6420
FTP 04/29/2006 08:39:25 69.203.203.58               /pub/erique/www/fiction/fict9596/fict9596.html 1446
FTP 04/29/2006 08:39:24 69.203.203.58               /pub/erique/www/fiction/fict9596/fict896.html 27993
FTP 04/29/2006 08:39:34 69.203.203.58               /pub/erique/www/fiction/fict97/fict297.html 8467
FTP 04/29/2006 08:39:31 69.203.203.58               /pub/erique/www/fiction/fict97/fict1297.html 6078
FTP 04/29/2006 08:39:30 69.203.203.58               /pub/erique/www/fiction/fict97/fict1197.html 12283
FTP 04/29/2006 08:39:32 69.203.203.58               /pub/erique/www/fiction/fict97/fict197.html 17226
